구분,신고(발견),확진,시도,시군구,읍면,리,세부주소,위도,경도,개체구분
1,2019-10-02,2019-10-03,경기도,연천군,신서면,도밀리,944,38.264123,127.077756,폐사체
2,2019-10-11,2019-10-12,경기도,연천군,왕징면,강서리,986,38.090774,126.938503,수렵개체
3,2019-10-11,2019-10-12,강원도,철원군,원남면,진현리,115,38.303126,127.600284,폐사체
4,2019-10-12,2019-10-12,강원도,철원군,원남면,진현리,25,38.309478,127.602335,폐사체
5,2019-10-12,2019-10-12,강원도,철원군,원남면,진현리,21,38.310692,127.604746,폐사체
6,2019-10-14,2019-10-15,경기도,연천군,장남면,판부리,150-2,37.997654,126.868309,폐사체
7,2019-10-15,2019-10-16,강원도,철원군,원남면,죽대리,산157,38.305629,127.613226,폐사체
8,2019-10-16,2019-10-17,경기도,연천군,왕징면,강서리,1106,38.091466,126.938031,폐사체
9,2019-10-16,2019-10-17,경기도,파주시,장단면,거곡리,1066,37.872669,126.722001,폐사체
10,2019-10-19,2019-10-20,경기도,연천군,연천읍,와초리,615,38.161863,127.073799,폐사체
11,2019-10-20,2019-10-21,경기도,연천군,장남면,반정리,652-1,37.977525,126.820542,폐사체
12,2019-10-19,2019-10-21,강원도,철원군,원남면,죽대리,164,38.305278,127.610155,폐사체
13,2019-10-23,2019-10-23,경기도,파주시,장단면,석곶리,303,37.860881,126.718336,폐사체
14,2019-10-23,2019-10-23,경기도,파주시,장단면,석곶리,303,37.860881,126.718336,폐사체
15,2019-10-24,2019-10-25,강원도,철원군,원남면,죽대리,167,38.305738,127.611216,폐사체
16,2019-10-27,2019-10-28,경기도,연천군,연천읍,와초리,361,38.155363,127.07939,폐사체
17,2019-10-29,2019-10-30,경기도,파주시,군내면,백연리,398,37.901365,126.725543,폐사체
18,2019-10-29,2019-10-30,경기도,파주시,군내면,정자리,46,37.916952,126.767699,폐사체
19,2019-10-31,2019-11-01,경기도,연천군,신서면,답곡리,849,38.176665,127.072595,폐사체
20,2019-11-01,2019-11-02,강원도,철원군,원남면,진현리,39,38.313448,127.59989,폐사체
21,2019-11-06,2019-11-07,강원도,철원군,원남면,죽대리,167,38.305738,127.611216,폐사체
22,2019-11-06,2019-11-07,경기도,파주시,진동면,하포리,240,37.935856,126.814801,폐사체
23,2019-11-06,2019-11-08,강원도,철원군,원남면,진현리,313,38.302917,127.581556,포획개체
24,2019-11-12,2019-11-13,강원도,철원군,원남면,진현리,18,38.308583,127.605326,폐사체
25,2019-11-12,2019-11-13,강원도,철원군,원남면,진현리,18,38.308583,127.605326,폐사체
26,2019-11-20,2019-11-21,강원도,철원군,원남면,진현리,262,38.297157,127.592606,폐사체
27,2019-11-26,2019-11-27,강원도,철원군,원남면,진현리,80,38.305183,127.59889,폐사체
28,2019-11-26,2019-11-27,경기도,파주시,군내면,정자리,255,37.915344,126.766245,폐사체
29,2019-11-26,2019-11-27,경기도,파주시,진동면,동파리,372,37.902299,126.801256,폐사체
30,2019-11-27,2019-11-28,경기도,파주시,군내면,정자리,93,37.922092,126.762037,폐사체
31,2019-11-28,2019-11-29,경기도,파주시,군내면,정자리,206,37.916062,126.766955,폐사체
32,2019-11-28,2019-11-29,경기도,파주시,군내면,정자리,23,37.915454,126.769895,폐사체
33,2019-11-27,2019-11-30,경기도,연천군,신서면,덕산리,70,38.24733,127.082007,수렵개체
34,2019-11-29,2019-12-01,경기도,파주시,군내면,읍내리,511,37.935524,126.745207,폐사체
35,2019-11-30,2019-12-03,경기도,파주시,장단면,거곡리,461,37.885098,126.729952,폐사체
36,2019-12-02,2019-12-03,경기도,연천군,신서면,도신리,산120,38.168561,127.094143,폐사체
37,2019-12-03,2019-12-04,경기도,파주시,군내면,정자리,572,37.91368,126.746615,폐사체
38,2019-12-04,2019-12-05,경기도,파주시,진동면,하포리,1236,37.94046,126.788046,폐사체
39,2019-12-05,2019-12-06,경기도,파주시,진동면,하포리,1214,37.942121,126.788225,폐사체
40,2019-12-05,2019-12-06,강원도,철원군,갈말읍,신철원리,산5-1,38.130158,127.353458,폐사체
41,2019-12-04,2019-12-06,강원도,철원군,서면,와수리,산27,38.244637,127.460728,수렵개체
42,2019-12-10,2019-12-11,경기도,연천군,신서면,답곡리,804,38.17449,127.078773,폐사체
43,2019-12-10,2019-12-11,경기도,연천군,연천읍,와초리,602,38.160343,127.070788,폐사체
44,2019-12-11,2019-12-12,경기도,연천군,신서면,답곡리,산245,38.171317,127.070133,폐사체
45,2019-12-11,2019-12-13,경기도,연천군,신서면,답곡리,1555,38.199402,127.084345,수렵개체
46,2019-12-12,2019-12-13,강원도,철원군,갈말읍,상사리,808,38.227878,127.2609,폐사체
47,2019-12-16,2019-12-18,경기도,파주시,진동면,하포리,196,37.940999,126.81508,폐사체
48,2019-12-18,2019-12-19,경기도,연천군,신서면,도밀리,산11,38.255259,127.092613,폐사체
49,2019-12-18,2019-12-22,경기도,파주시,진동면,하포리,산108,37.916515,126.805505,폐사체
50,2019-12-20,2019-12-22,경기도,파주시,군내면,정자리,145,37.919556,126.760609,폐사체
51,2019-12-23,2019-12-24,경기도,연천군,신서면,답곡리,513,38.20293,127.08449,폐사체
52,2019-12-25,2019-12-26,경기도,연천군,신서면,마전리,1084,38.215157,127.057479,폐사체
53,2019-12-27,2019-12-28,강원도,철원군,갈말읍,상사리,808,38.229003,127.260904,폐사체
54,2019-12-28,2019-12-29,경기도,연천군,백학면,석장리,752,38.075607,126.923578,폐사체
55,2019-12-30,2019-12-31,경기도,연천군,신서면,답곡리,산194,38.180441,127.066175,폐사체
56,2019-12-30,2020-01-01,경기도,파주시,군내면,방목리,648,37.945859,126.759475,폐사체
57,2020-01-02,2020-01-03,경기도,연천군,중면,삼곶리,산128,38.152583,127.006355,폐사체
58,2020-01-03,2020-01-04,경기도,파주시,진동면,하포리,산69-1,37.947916,126.807981,폐사체
59,2020-01-03,2020-01-05,경기도,연천군,중면,마거리,산109,38.197501,127.040378,폐사체
60,2020-01-04,2020-01-05,경기도,연천군,왕징면,강서리,산4,38.101386,126.979707,폐사체
61,2020-01-04,2020-01-05,경기도,연천군,왕징면,강서리,산4,38.101386,126.979707,폐사체
62,2020-01-04,2020-01-05,경기도,연천군,신서면,신현리,4,38.236459,127.059461,폐사체
63,2020-01-06,2020-01-07,경기도,연천군,백학면,두일리,산172,38.0195,126.8955,폐사체
64,2020-01-06,2020-01-07,경기도,파주시,장단면,거곡리,685,37.868779,126.729138,폐사체
65,2020-01-06,2020-01-08,강원도,화천군,화천읍,풍산리,산269,38.259304,127.746292,폐사체
66,2020-01-07,2020-01-08,경기도,연천군,중면,중사리,산404,38.139859,126.997845,폐사체
67,2020-01-10,2020-01-11,경기도,파주시,군내면,백연리,산84,37.901151,126.728085,폐사체
68,2020-01-09,2020-01-11,경기도,파주시,진동면,동파리,산76,37.932483,126.791068,폐사체
69,2020-01-10,2020-01-11,강원도,화천군,화천읍,풍산리,산269,38.260811,127.749504,폐사체
70,2020-01-11,2020-01-13,강원도,화천군,화천읍,풍산리,산300,38.25791,127.769484,폐사체
71,2020-01-11,2020-01-13,강원도,화천군,화천읍,풍산리,산269,38.260319,127.749397,폐사체
72,2020-01-11,2020-01-13,강원도,화천군,화천읍,풍산리,산269,38.26038,127.747459,폐사체
73,2020-01-14,2020-01-15,경기도,연천군,장남면,반정리,446,37.962153,126.820073,폐사체
74,2020-01-14,2020-01-15,경기도,연천군,장남면,반정리,산111,37.962265,126.819826,폐사체
75,2020-01-14,2020-01-16,경기도,파주시,진동면,동파리,1073,37.93045,126.79255,폐사체
76,2020-01-14,2020-01-16,경기도,파주시,장단면,거곡리,675,37.866358,126.73165,폐사체
77,2020-01-14,2020-01-16,경기도,파주시,군내면,점원리,산181,37.912916,126.711692,폐사체
78,2020-01-14,2020-01-16,강원도,화천군,화천읍,풍산리,산269,38.260647,127.745399,폐사체
79,2020-01-14,2020-01-16,강원도,화천군,화천읍,풍산리,산267,38.195123,127.743177,폐사체
