"","SIG_CD","mean"
"1",11110,0
"2",11140,0
"3",11170,0
"4",11200,0
"5",11215,0
"6",11230,0
"7",11260,0
"8",11290,0
"9",11305,0
"10",11320,0
"11",11350,0
"12",11380,0
"13",11410,0
"14",11440,0
"15",11470,0
"16",11500,0
"17",11530,0
"18",11545,0
"19",11560,0
"20",11590,0
"21",11620,0
"22",11650,0
"23",11680,0
"24",11710,0
"25",11740,0
"26",26110,0
"27",26140,0
"28",26170,0
"29",26200,0
"30",26230,0
"31",26260,0
"32",26290,0
"33",26320,0
"34",26350,0
"35",26380,0
"36",26410,0
"37",26440,0
"38",26470,0
"39",26500,0
"40",26530,0
"41",26710,0
"42",27110,0
"43",27140,0
"44",27170,0
"45",27200,0
"46",27230,0
"47",27260,0
"48",27290,0
"49",27710,0
"50",28110,0
"51",28140,0
"52",28177,0
"53",28185,0
"54",28200,0
"55",28237,0
"56",28245,0
"57",28260,0
"58",28710,0
"59",28720,0
"60",29110,0
"61",29140,0
"62",29155,0
"63",29170,0
"64",29200,0
"65",30110,0
"66",30140,0
"67",30170,0
"68",30200,0
"69",30230,0
"70",31110,0
"71",31140,0
"72",31170,0
"73",31200,0
"74",31710,0
"75",36110,1
"76",41111,0
"77",41113,1
"78",41115,1
"79",41117,1
"80",41131,0
"81",41133,0
"82",41135,0
"83",41150,0
"84",41171,0
"85",41173,0
"86",41190,0
"87",41210,0
"88",41220,1
"89",41250,0
"90",41271,0
"91",41273,0
"92",41281,0
"93",41285,0
"94",41287,0
"95",41290,0
"96",41310,0
"97",41360,0
"98",41370,1
"99",41390,0
"100",41410,0
"101",41430,0
"102",41450,0
"103",41461,1
"104",41463,1
"105",41465,0
"106",41480,0
"107",41500,2
"108",41550,2
"109",41570,0
"110",41590,1
"111",41610,0
"112",41630,0
"113",41650,0
"114",41670,1
"115",41800,0
"116",41820,0
"117",41830,0
"118",42110,0
"119",42130,2
"120",42150,0
"121",42170,0
"122",42190,2
"123",42210,0
"124",42230,1
"125",42720,0
"126",42730,0
"127",42750,2
"128",42760,0
"129",42770,1
"130",42780,0
"131",42790,0
"132",42800,0
"133",42810,0
"134",42820,0
"135",42830,0
"136",43111,1
"137",43112,1
"138",43113,1
"139",43114,2
"140",43130,3
"141",43150,3
"142",43720,1
"143",43730,0
"144",43740,0
"145",43745,2
"146",43750,2
"147",43760,2
"148",43770,2
"149",43800,3
"150",44131,1
"151",44133,1
"152",44150,0
"153",44180,0
"154",44200,1
"155",44210,0
"156",44230,0
"157",44250,0
"158",44270,0
"159",44710,0
"160",44760,0
"161",44770,0
"162",44790,0
"163",44800,0
"164",44810,0
"165",44825,0
"166",45111,0
"167",45113,0
"168",45130,0
"169",45140,0
"170",45180,0
"171",45190,0
"172",45210,0
"173",45710,0
"174",45720,0
"175",45730,0
"176",45740,0
"177",45750,0
"178",45770,0
"179",45790,0
"180",45800,0
"181",46110,0
"182",46130,0
"183",46150,0
"184",46170,0
"185",46230,0
"186",46710,0
"187",46720,0
"188",46730,0
"189",46770,0
"190",46780,0
"191",46790,0
"192",46800,0
"193",46810,0
"194",46820,0
"195",46830,0
"196",46840,0
"197",46860,0
"198",46870,0
"199",46880,0
"200",46890,0
"201",46900,0
"202",46910,0
"203",47111,0
"204",47113,0
"205",47130,0
"206",47150,0
"207",47170,1
"208",47190,0
"209",47210,3
"210",47230,0
"211",47250,0
"212",47280,2
"213",47290,0
"214",47720,0
"215",47730,0
"216",47750,0
"217",47760,1
"218",47770,0
"219",47820,0
"220",47830,0
"221",47840,0
"222",47850,0
"223",47900,2
"224",47920,2
"225",47930,1
"226",47940,0
"227",48121,0
"228",48123,0
"229",48125,0
"230",48127,0
"231",48129,0
"232",48170,0
"233",48220,0
"234",48240,0
"235",48250,0
"236",48270,0
"237",48310,0
"238",48330,0
"239",48720,0
"240",48730,0
"241",48740,0
"242",48820,0
"243",48840,0
"244",48850,0
"245",48860,0
"246",48870,0
"247",48880,0
"248",48890,0
"249",50110,0
"250",50130,0
