SIG_CD,distance,time,forest,season,NUMPOINTS,x,y
11110,0.5294905387914595,201910,956.0,1,0,126.9773213,37.59491732
11110,0.5294905387914595,201911,956.0,1,0,126.9773213,37.59491732
11110,0.5294905387914595,201912,956.0,1,0,126.9773213,37.59491732
11140,0.5596112407976468,201910,150.0,1,0,126.9959681,37.56014356
11140,0.5596112407976468,201911,150.0,1,0,126.9959681,37.56014356
11140,0.5596112407976468,201912,150.0,1,0,126.9959681,37.56014356
11170,0.5909464286979845,201910,180.0,1,0,126.979907,37.53138497
11170,0.5909464286979845,201911,180.0,1,0,126.979907,37.53138497
11170,0.5909464286979845,201912,180.0,1,0,126.979907,37.53138497
11200,0.5620693087900674,201910,55.0,1,0,127.0410585,37.55102969
11200,0.5620693087900674,201911,55.0,1,0,127.0410585,37.55102969
11200,0.5620693087900674,201912,55.0,1,0,127.0410585,37.55102969
11215,0.5634601305420535,201910,295.0,1,0,127.0857441,37.54672024
11215,0.5634601305420535,201911,295.0,1,0,127.0857441,37.54672024
11215,0.5634601305420535,201912,295.0,1,0,127.0857441,37.54672024
11230,0.5299703568705615,201910,120.0,1,0,127.0548481,37.58195655
11230,0.5299703568705615,201911,120.0,1,0,127.0548481,37.58195655
11230,0.5299703568705615,201912,120.0,1,0,127.0548481,37.58195655
11260,0.5122320617379407,201910,532.0,1,0,127.0928832,37.59781738
11260,0.5122320617379407,201911,532.0,1,0,127.0928832,37.59781738
11260,0.5122320617379407,201912,532.0,1,0,127.0928832,37.59781738
11290,0.5109889553443003,201910,936.0,1,0,127.0175795,37.6057019
11290,0.5109889553443003,201911,936.0,1,0,127.0175795,37.6057019
11290,0.5109889553443003,201912,936.0,1,0,127.0175795,37.6057019
11305,0.4749041865173319,201910,1290.0,1,0,127.011189,37.64347391
11305,0.4749041865173319,201911,1290.0,1,0,127.011189,37.64347391
11305,0.4749041865173319,201912,1290.0,1,0,127.011189,37.64347391
11320,0.4460548789933403,201910,995.0,1,0,127.0323688,37.66910208
11320,0.4460548789933403,201911,995.0,1,0,127.0323688,37.66910208
11320,0.4460548789933403,201912,995.0,1,0,127.0323688,37.66910208
11350,0.4581696253312637,201910,1646.0,1,0,127.0750347,37.65251105
11350,0.4581696253312637,201911,1646.0,1,0,127.0750347,37.65251105
11350,0.4581696253312637,201912,1646.0,1,0,127.0750347,37.65251105
11380,0.5203793278019844,201910,1448.0,1,0,126.9270229,37.61921128
11380,0.5203793278019844,201911,1448.0,1,0,126.9270229,37.61921128
11380,0.5203793278019844,201912,1448.0,1,0,126.9270229,37.61921128
11410,0.5560154332690783,201910,560.0,1,0,126.9390631,37.57778531
11410,0.5560154332690783,201911,560.0,1,0,126.9390631,37.57778531
11410,0.5560154332690783,201912,560.0,1,0,126.9390631,37.57778531
11440,0.5831089308147969,201910,84.0,1,0,126.90827,37.55931349
11440,0.5831089308147969,201911,84.0,1,0,126.90827,37.55931349
11440,0.5831089308147969,201912,84.0,1,0,126.90827,37.55931349
11470,0.6342417440104688,201910,281.0,1,0,126.8554777,37.52478941
11470,0.6342417440104688,201911,281.0,1,0,126.8554777,37.52478941
11470,0.6342417440104688,201912,281.0,1,0,126.8554777,37.52478941
11500,0.6147997062882892,201910,390.0,1,0,126.8228067,37.56123543
11500,0.6147997062882892,201911,390.0,1,0,126.8228067,37.56123543
11500,0.6147997062882892,201912,390.0,1,0,126.8228067,37.56123543
11530,0.6620770892984005,201910,356.0,1,0,126.8563006,37.49440543
11530,0.6620770892984005,201911,356.0,1,0,126.8563006,37.49440543
11530,0.6620770892984005,201912,356.0,1,0,126.8563006,37.49440543
11545,0.6792901345171957,201910,322.0,1,0,126.9008202,37.46056756
11545,0.6792901345171957,201911,322.0,1,0,126.9008202,37.46056756
11545,0.6792901345171957,201912,322.0,1,0,126.9008202,37.46056756
11560,0.617589802970366,201910,4.0,1,0,126.9101695,37.52230829
11560,0.617589802970366,201911,4.0,1,0,126.9101695,37.52230829
11560,0.617589802970366,201912,4.0,1,0,126.9101695,37.52230829
11590,0.6288733674761454,201910,376.0,1,0,126.9516415,37.49887688
11590,0.6288733674761454,201911,376.0,1,0,126.9516415,37.49887688
11590,0.6288733674761454,201912,376.0,1,0,126.9516415,37.49887688
11620,0.6609739673442654,201910,1744.0,1,0,126.9453372,37.46737569
11620,0.6609739673442654,201911,1744.0,1,0,126.9453372,37.46737569
11620,0.6609739673442654,201912,1744.0,1,0,126.9453372,37.46737569
11650,0.6404087020447284,201910,1609.0,1,0,127.0312203,37.47329547
11650,0.6404087020447284,201911,1609.0,1,0,127.0312203,37.47329547
11650,0.6404087020447284,201912,1609.0,1,0,127.0312203,37.47329547
11680,0.6144719790953606,201910,714.0,1,0,127.0629852,37.49664389
11680,0.6144719790953606,201911,714.0,1,0,127.0629852,37.49664389
11680,0.6144719790953606,201912,714.0,1,0,127.0629852,37.49664389
11710,0.6045742634971948,201910,147.0,1,0,127.115295,37.50561924
11710,0.6045742634971948,201911,147.0,1,0,127.115295,37.50561924
11710,0.6045742634971948,201912,147.0,1,0,127.115295,37.50561924
11740,0.5615211868267249,201910,296.0,1,0,127.1470118,37.55045024
11740,0.5615211868267249,201911,296.0,1,0,127.1470118,37.55045024
11740,0.5615211868267249,201912,296.0,1,0,127.1470118,37.55045024
26110,3.571834463531402,201910,150.0,1,0,129.0315402,35.10547776
26110,3.571834463531402,201911,150.0,1,0,129.0315402,35.10547776
26110,3.571834463531402,201912,150.0,1,0,129.0315402,35.10547776
26140,3.5649958454748116,201910,678.0,1,0,129.0149133,35.10295786
26140,3.5649958454748116,201911,678.0,1,0,129.0149133,35.10295786
26140,3.5649958454748116,201912,678.0,1,0,129.0149133,35.10295786
26170,3.559025618143613,201910,276.0,1,0,129.0445856,35.12918632
26170,3.559025618143613,201911,276.0,1,0,129.0445856,35.12918632
26170,3.559025618143613,201912,276.0,1,0,129.0445856,35.12918632
26200,3.6124248841985493,201910,403.0,1,0,129.0648233,35.07864998
26200,3.6124248841985493,201911,403.0,1,0,129.0648233,35.07864998
26200,3.6124248841985493,201912,403.0,1,0,129.0648233,35.07864998
26230,3.528040615005135,201910,1040.0,1,0,129.0430603,35.16524411
26230,3.528040615005135,201911,1040.0,1,0,129.0430603,35.16524411
26230,3.528040615005135,201912,1040.0,1,0,129.0430603,35.16524411
26260,3.51415628534855,201910,460.0,1,0,129.0792201,35.20621244
26260,3.51415628534855,201911,460.0,1,0,129.0792201,35.20621244
26260,3.51415628534855,201912,460.0,1,0,129.0792201,35.20621244
26290,3.589458934428247,201910,910.0,1,0,129.0943068,35.12554765
26290,3.589458934428247,201911,910.0,1,0,129.0943068,35.12554765
26290,3.589458934428247,201912,910.0,1,0,129.0943068,35.12554765
26320,3.4638769876709468,201910,2285.0,1,0,129.0234633,35.22924789
26320,3.4638769876709468,201911,2285.0,1,0,129.0234633,35.22924789
26320,3.4638769876709468,201912,2285.0,1,0,129.0234633,35.22924789
26350,3.566669714068049,201910,2866.0,1,0,129.15359,35.19385512
26350,3.566669714068049,201911,2866.0,1,0,129.15359,35.19385512
26350,3.566669714068049,201912,2866.0,1,0,129.15359,35.19385512
26380,3.5550424284600752,201910,1371.0,1,0,128.9738077,35.08887912
26380,3.5550424284600752,201911,1371.0,1,0,128.9738077,35.08887912
26380,3.5550424284600752,201912,1371.0,1,0,128.9738077,35.08887912
26410,3.477785705260284,201910,4120.0,1,0,129.0915287,35.25889375
26410,3.477785705260284,201911,4120.0,1,0,129.0915287,35.25889375
26410,3.477785705260284,201912,4120.0,1,0,129.0915287,35.25889375
26440,3.470362559245639,201910,390.0,1,0,128.8924006,35.13834787
26440,3.470362559245639,201911,390.0,1,0,128.8924006,35.13834787
26440,3.470362559245639,201912,390.0,1,0,128.8924006,35.13834787
26470,3.535925464120167,201910,301.0,1,0,129.0829353,35.18241798
26470,3.535925464120167,201911,301.0,1,0,129.0829353,35.18241798
26470,3.535925464120167,201912,301.0,1,0,129.0829353,35.18241798
26500,3.5692743662744366,201910,244.0,1,0,129.1112017,35.16130754
26500,3.5692743662744366,201911,244.0,1,0,129.1112017,35.16130754
26500,3.5692743662744366,201912,244.0,1,0,129.1112017,35.16130754
26530,3.503334417068538,201910,1248.0,1,0,128.9865924,35.15803097
26530,3.503334417068538,201911,1248.0,1,0,128.9865924,35.15803097
26530,3.503334417068538,201912,1248.0,1,0,128.9865924,35.15803097
26710,3.5101701580168356,201910,14482.0,1,0,129.200956,35.29801166
26710,3.5101701580168356,201911,14482.0,1,0,129.200956,35.29801166
26710,3.5101701580168356,201912,14482.0,1,0,129.200956,35.29801166
27110,2.69517943573504,201910,150.0,1,0,128.5936058,35.86653529
27110,2.69517943573504,201911,150.0,1,0,128.5936058,35.86653529
27110,2.69517943573504,201912,150.0,1,0,128.5936058,35.86653529
27140,2.6921066308869084,201910,276.0,1,0,128.6856599,35.93442633
27140,2.6921066308869084,201911,276.0,1,0,128.6856599,35.93442633
27140,2.6921066308869084,201912,276.0,1,0,128.6856599,35.93442633
27170,2.663989614572203,201910,678.0,1,0,128.5496976,35.87500167
27170,2.663989614572203,201911,678.0,1,0,128.5496976,35.87500167
27170,2.663989614572203,201912,678.0,1,0,128.5496976,35.87500167
27200,2.716803815887673,201910,910.0,1,0,128.5853296,35.83517716
27200,2.716803815887673,201911,910.0,1,0,128.5853296,35.83517716
27200,2.716803815887673,201912,910.0,1,0,128.5853296,35.83517716
27230,2.6342422947530433,201910,2285.0,1,0,128.5772044,35.92892237
27230,2.6342422947530433,201911,2285.0,1,0,128.5772044,35.92892237
27230,2.6342422947530433,201912,2285.0,1,0,128.5772044,35.92892237
27260,2.7601524893053733,201910,3771.0,1,0,128.6612744,35.83384886
27260,2.7601524893053733,201911,3771.0,1,0,128.6612744,35.83384886
27260,2.7601524893053733,201912,3771.0,1,0,128.6612744,35.83384886
27290,2.693052287938727,201910,2119.0,1,0,128.5292121,35.8274831
27290,2.693052287938727,201911,2119.0,1,0,128.5292121,35.8274831
27290,2.693052287938727,201912,2119.0,1,0,128.5292121,35.8274831
27710,2.7347522723613364,201910,25577.0,1,0,128.4982256,35.75971594
27710,2.7347522723613364,201911,25577.0,1,0,128.4982256,35.75971594
27710,2.7347522723613364,201912,25577.0,1,0,128.4982256,35.75971594
28110,0.8897436116541245,201910,150.0,1,0,126.4828375,37.46909896
28110,0.8897436116541245,201911,150.0,1,0,126.4828375,37.46909896
28110,0.8897436116541245,201912,150.0,1,0,126.4828375,37.46909896
28140,0.7779424647325911,201910,276.0,1,0,126.6390334,37.48333879
28140,0.7779424647325911,201911,276.0,1,0,126.6390334,37.48333879
28140,0.7779424647325911,201912,276.0,1,0,126.6390334,37.48333879
28177,0.7884840624435447,201910,241.0,1,0,126.6646574,37.45259302
28177,0.7884840624435447,201911,241.0,1,0,126.6646574,37.45259302
28177,0.7884840624435447,201912,241.0,1,0,126.6646574,37.45259302
28185,0.8448102446722916,201910,427.0,1,0,126.6485628,37.39592101
28185,0.8448102446722916,201911,427.0,1,0,126.6485628,37.39592101
28185,0.8448102446722916,201912,427.0,1,0,126.6485628,37.39592101
28200,0.7747195952191732,201910,1261.0,1,0,126.7265885,37.43121115
28200,0.7747195952191732,201911,1261.0,1,0,126.7265885,37.43121115
28200,0.7747195952191732,201912,1261.0,1,0,126.7265885,37.43121115
28237,0.72088128000853,201910,828.0,1,0,126.7212094,37.49665874
28237,0.72088128000853,201911,828.0,1,0,126.7212094,37.49665874
28237,0.72088128000853,201912,828.0,1,0,126.7212094,37.49665874
28245,0.662514010029409,201910,1146.0,1,0,126.7346999,37.55729696
28245,0.662514010029409,201911,1146.0,1,0,126.7346999,37.55729696
28245,0.662514010029409,201912,1146.0,1,0,126.7346999,37.55729696
28260,0.7086219133494835,201910,678.0,1,0,126.6558211,37.55786766
28260,0.7086219133494835,201911,678.0,1,0,126.6558211,37.55786766
28260,0.7086219133494835,201912,678.0,1,0,126.6558211,37.55786766
28710,0.8032049067953662,201910,17712.0,1,0,126.4020854,37.71244078
28710,0.8032049067953662,201911,17712.0,1,0,126.4020854,37.71244078
28710,0.8032049067953662,201912,17712.0,1,0,126.4020854,37.71244078
28720,1.5695432242264933,201910,11407.0,1,0,125.6360667,37.54399185
28720,1.5695432242264933,201911,11407.0,1,0,125.6360667,37.54399185
28720,1.5695432242264933,201912,11407.0,1,0,125.6360667,37.54399185
29110,2.996403525022844,201910,276.0,1,0,126.9494643,35.11738023
29110,2.996403525022844,201911,276.0,1,0,126.9494643,35.11738023
29110,2.996403525022844,201912,276.0,1,0,126.9494643,35.11738023
29140,2.984734903304862,201910,678.0,1,0,126.8507191,35.13569311
29140,2.984734903304862,201911,678.0,1,0,126.8507191,35.13569311
29140,2.984734903304862,201912,678.0,1,0,126.8507191,35.13569311
29155,3.025738045875857,201910,910.0,1,0,126.8567181,35.09405825
29155,3.025738045875857,201911,910.0,1,0,126.8567181,35.09405825
29155,3.025738045875857,201912,910.0,1,0,126.8567181,35.09405825
29170,2.9219699205351843,201910,2285.0,1,0,126.9254865,35.19324611
29170,2.9219699205351843,201911,2285.0,1,0,126.9254865,35.19324611
29170,2.9219699205351843,201912,2285.0,1,0,126.9254865,35.19324611
29200,2.965349975232173,201910,7499.0,1,0,126.7528952,35.16503502
29200,2.965349975232173,201911,7499.0,1,0,126.7528952,35.16503502
29200,2.965349975232173,201912,7499.0,1,0,126.7528952,35.16503502
30110,1.8250298617288494,201910,276.0,1,0,127.4750374,36.32392023
30110,1.8250298617288494,201911,276.0,1,0,127.4750374,36.32392023
30110,1.8250298617288494,201912,276.0,1,0,127.4750374,36.32392023
30140,1.8554000201415606,201910,150.0,1,0,127.4110573,36.28086015
30140,1.8554000201415606,201911,150.0,1,0,127.4110573,36.28086015
30140,1.8554000201415606,201912,150.0,1,0,127.4110573,36.28086015
30170,1.8461037434172975,201910,678.0,1,0,127.3451041,36.28023963
30170,1.8461037434172975,201911,678.0,1,0,127.3451041,36.28023963
30170,1.8461037434172975,201912,678.0,1,0,127.3451041,36.28023963
30200,1.7488349704004114,201910,9070.0,1,0,127.3332564,36.37679049
