,SIG_CD,SIG_ENG_NM_x,forest,dem,x,y,slope,farm_cnt,NUMPOINTS,1,2,3,4,5,6,7,8,9,10,11,12,2019,2020,2021,2022,2023
0,11110,종로구,956,147.6389509,126.9773213,37.59491732,11.51673882,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,11110,종로구,956,147.6389509,126.9773213,37.59491732,11.51673882,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2,11110,종로구,956,147.6389509,126.9773213,37.59491732,11.51673882,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,11140,중구,150,50.85340841,126.9959681,37.56014356,4.318324677,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4,11140,중구,150,50.85340841,126.9959681,37.56014356,4.318324677,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,11140,중구,150,50.85340841,126.9959681,37.56014356,4.318324677,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6,11170,용산구,180,33.10674018,126.979907,37.53138497,3.285952806,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7,11170,용산구,180,33.10674018,126.979907,37.53138497,3.285952806,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8,11170,용산구,180,33.10674018,126.979907,37.53138497,3.285952806,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9,11200,성동구,55,21.17796975,127.0410585,37.55102969,2.302774391,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10,11200,성동구,55,21.17796975,127.0410585,37.55102969,2.302774391,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
11,11200,성동구,55,21.17796975,127.0410585,37.55102969,2.302774391,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12,11215,광진구,295,39.78196175,127.0857441,37.54672024,4.113429609,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
13,11215,광진구,295,39.78196175,127.0857441,37.54672024,4.113429609,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
14,11215,광진구,295,39.78196175,127.0857441,37.54672024,4.113429609,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
15,11230,동대문구,120,22.526618,127.0548481,37.58195655,1.759118614,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
16,11230,동대문구,120,22.526618,127.0548481,37.58195655,1.759118614,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17,11230,동대문구,120,22.526618,127.0548481,37.58195655,1.759118614,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
18,11260,중랑구,532,55.26852751,127.0928832,37.59781738,5.081702221,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
19,11260,중랑구,532,55.26852751,127.0928832,37.59781738,5.081702221,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
20,11260,중랑구,532,55.26852751,127.0928832,37.59781738,5.081702221,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
21,11290,성북구,936,100.2086356,127.0175795,37.6057019,8.062914659,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
22,11290,성북구,936,100.2086356,127.0175795,37.6057019,8.062914659,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
23,11290,성북구,936,100.2086356,127.0175795,37.6057019,8.062914659,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
24,11305,강북구,1290,149.5758582,127.011189,37.64347391,11.7400548,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
25,11305,강북구,1290,149.5758582,127.011189,37.64347391,11.7400548,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
26,11305,강북구,1290,149.5758582,127.011189,37.64347391,11.7400548,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
27,11320,도봉구,995,103.1966252,127.0323688,37.66910208,7.380808361,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
28,11320,도봉구,995,103.1966252,127.0323688,37.66910208,7.380808361,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
29,11320,도봉구,995,103.1966252,127.0323688,37.66910208,7.380808361,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30,11350,노원구,1646,85.88373559,127.0750347,37.65251105,7.527498049,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
31,11350,노원구,1646,85.88373559,127.0750347,37.65251105,7.527498049,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
32,11350,노원구,1646,85.88373559,127.0750347,37.65251105,7.527498049,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
33,11380,은평구,1448,94.72902691,126.9270229,37.61921128,10.25288725,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
34,11380,은평구,1448,94.72902691,126.9270229,37.61921128,10.25288725,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
35,11380,은평구,1448,94.72902691,126.9270229,37.61921128,10.25288725,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
36,11410,서대문구,560,71.09992035,126.9390631,37.57778531,9.084125217,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
37,11410,서대문구,560,71.09992035,126.9390631,37.57778531,9.084125217,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
38,11410,서대문구,560,71.09992035,126.9390631,37.57778531,9.084125217,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
39,11440,마포구,84,19.86754411,126.90827,37.55931349,1.490439272,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
40,11440,마포구,84,19.86754411,126.90827,37.55931349,1.490439272,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
41,11440,마포구,84,19.86754411,126.90827,37.55931349,1.490439272,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
42,11470,양천구,281,21.23428153,126.8554777,37.52478941,2.270493489,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
43,11470,양천구,281,21.23428153,126.8554777,37.52478941,2.270493489,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
44,11470,양천구,281,21.23428153,126.8554777,37.52478941,2.270493489,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
45,11500,강서구,390,15.12990958,126.8228067,37.56123543,1.36149409,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
46,11500,강서구,390,15.12990958,126.8228067,37.56123543,1.36149409,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
47,11500,강서구,390,15.12990958,126.8228067,37.56123543,1.36149409,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
48,11530,구로구,356,25.43690869,126.8563006,37.49440543,3.059078325,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
49,11530,구로구,356,25.43690869,126.8563006,37.49440543,3.059078325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
50,11530,구로구,356,25.43690869,126.8563006,37.49440543,3.059078325,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
